name,men,women,fem
Matthewdavid,5,0,0.0
Jasiir,5,0,0.0
Jasik,5,0,0.0
Nawfal,5,0,0.0
Nawaz,5,0,0.0
Cleofus,5,0,0.0
Navil,5,117,0.9590163934426228
Clen,5,0,0.0
Navarius,5,0,0.0
Navarion,5,0,0.0
Jashod,5,0,0.0
Nazareno,5,0,0.0
Cleonte,5,0,0.0
Naysean,5,0,0.0
Nayr,5,0,0.0
Aysin,5,0,0.0
Cleone,5,1320,0.9962264150943396
Jashone,5,0,0.0
Naylor,5,0,0.0
Navario,5,0,0.0
Jasuan,5,0,0.0
Nathanil,5,0,0.0
Nathanielle,5,0,0.0
Nathaniell,5,0,0.0
Jaswinder,5,0,0.0
Nathain,5,0,0.0
Clellie,5,7,0.5833333333333334
Jasye,5,0,0.0
Azaniah,5,10,0.6666666666666666
Azante,5,0,0.0
Clegg,5,0,0.0
Nateo,5,0,0.0
Nathel,5,5,0.5
Navajo,5,0,0.0
Naul,5,0,0.0
Clemie,5,211,0.976851851851852
Jasonanthony,5,0,0.0
Jasonjr,5,0,0.0
Clemet,5,0,0.0
Natorian,5,0,0.0
Jasonpaul,5,0,0.0
Jasontyler,5,0,0.0
Jaspyr,5,0,0.0
Jassan,5,0,0.0
Nathinal,5,0,0.0
Jassem,5,0,0.0
Navan,5,0,0.0
Jashanpreet,5,0,0.0
Nelda,5,20111,0.9997514416384968
Jaronte,5,0,0.0
Jarrah,5,59,0.921875
Jarran,5,0,0.0
Jarrek,5,0,0.0
Jarrian,5,0,0.0
Neima,5,83,0.9431818181818182
Jarriet,5,0,0.0
Aymar,5,264,0.9814126394052044
Jarrison,5,0,0.0
Aymer,5,0,0.0
Jaro,5,0,0.0
Neris,5,0,0.0
Jarimiah,5,0,0.0
Jarique,5,0,0.0
Jarison,5,0,0.0
Jarit,5,0,0.0
Jarmani,5,0,0.0
Jarmaris,5,0,0.0
Jarmen,5,0,0.0
Neilesh,5,0,0.0
Aymir,5,0,0.0
Jarritt,5,0,0.0
Necko,5,0,0.0
Nechemiah,5,0,0.0
Nebi,5,0,0.0
Nebeyu,5,0,0.0
Jasere,5,0,0.0
Jasey,5,599,0.9917218543046358
Cleothis,5,0,0.0
Ncholas,5,0,0.0
Nazr,5,0,0.0
Ayric,5,0,0.0
Nazmir,5,0,0.0
Azarael,5,0,0.0
Jarrott,5,0,0.0
Nehki,5,0,0.0
Jarryl,5,0,0.0
Negun,5,0,0.0
Negasi,5,0,0.0
Jartavis,5,0,0.0
Jarus,5,0,0.0
Jarvais,5,0,0.0
Jaryel,5,0,0.0
Neemias,5,0,0.0
Jasaih,5,0,0.0
Nedrick,5,0,0.0
Jaseir,5,0,0.0
Azrien,5,0,0.0
Azryel,5,0,0.0
Jawdat,5,0,0.0
Jaxcyn,5,0,0.0
Jaxdyn,5,0,0.0
Najuan,5,0,0.0
Najji,5,0,0.0
Jawvan,5,0,0.0
Jawaski,5,0,0.0
Nakio,5,0,0.0
Javohir,5,0,0.0
Nalo,5,12,0.7058823529411765
Azjon,5,0,0.0
Javontaye,5,0,0.0
Javonti,5,0,0.0
Javor,5,0,0.0
Jawane,5,0,0.0
Nakiya,5,1711,0.997086247086247
Jawarren,5,0,0.0
Najih,5,0,0.0
Najam,5,0,0.0
Jayaun,5,0,0.0
Jaybin,5,0,0.0
Babette,5,3267,0.9984718826405868
Jaycie,5,3656,0.9986342529363562
Jaycier,5,0,0.0
Nahil,5,0,0.0
Jaycyn,5,0,0.0
Bacarri,5,0,0.0
